date,value,capital,shares,stock_value,returns
2020-12-07 00:00:00-05:00,14671.403646621711,7925.378805313116,56,6746.024841308595,0.005906561514409381
2020-12-08 00:00:00-05:00,14700.020074157721,8646.120309143073,50,6053.8997650146475,0.0019504900979667728
2020-12-09 00:00:00-05:00,14563.493475677496,3657.165533782966,92,10906.32794189453,-0.009287511023215234
2020-12-10 00:00:00-05:00,14688.045227462779,4850.648392135628,82,9837.39683532715,0.008552326541244826
2020-12-11 00:00:00-05:00,14615.720022979744,3772.1333072815014,91,10843.586715698242,-0.004924086450102005
2020-12-14 00:00:00-05:00,14553.373094772345,2224.4806387176586,104,12328.892456054686,-0.004265744561976592
2020-12-15 00:00:00-05:00,15160.576571586616,7566.986415031441,61,7593.590156555176,0.04172252527713871
2020-12-16 00:00:00-05:00,15149.304592758186,5444.7833677826,78,9704.521224975586,-0.000743505946175893
2020-12-17 00:00:00-05:00,15210.751612945565,6566.205333038338,69,8644.546279907228,0.004056095103979418
2020-12-18 00:00:00-05:00,15066.018751358039,3845.9482786407552,91,11220.070472717283,-0.009515168301371002
2020-12-21 00:00:00-05:00,15198.844865020761,5087.957696136483,81,10110.887168884277,0.008816271627881012
2020-12-22 00:00:00-05:00,15477.412598480234,9315.225098480234,48,6162.1875,0.018328217435825023
2020-12-23 00:00:00-05:00,15427.386292572031,7268.451722259531,64,8158.934570312499,-0.0032322137560069075
2020-12-24 00:00:00-05:00,15484.407925567637,8161.817898712168,57,7322.590026855469,0.0036961304989855392
2020-12-28 00:00:00-05:00,15738.245192810069,11214.164809509288,34,4524.080383300781,0.016393088354595742
2020-12-29 00:00:00-05:00,15670.5129605713,8712.17000402833,53,6958.342956542969,-0.004303671178646606
2020-12-30 00:00:00-05:00,15604.229782470713,6752.666794189463,68,8851.56298828125,-0.0042298027044399555
2020-12-31 00:00:00-05:00,15529.498194396983,5196.108301818857,80,10333.389892578125,-0.00478918787505167
2021-01-04 00:00:00-05:00,15266.170483161937,2290.797504951486,103,12975.372978210451,-0.0169566143051586
2021-01-05 00:00:00-05:00,15417.765734931954,6107.931018135079,73,9309.834716796875,0.009930142725526503
2021-01-06 00:00:00-05:00,15096.424620430003,3142.2358539505085,97,11954.188766479494,-0.020842262103768383
2021-01-07 00:00:00-05:00,15494.243844673165,8229.913652107247,57,7264.330192565918,0.0263518835913501
2021-01-08 00:00:00-05:00,15551.17162171174,8995.408621223458,51,6555.763000488281,0.0036741242495770265
2021-01-11 00:00:00-05:00,15391.121320816048,6351.098676773079,72,9040.022644042969,-0.010291848407886994
2021-01-12 00:00:00-05:00,15378.505170913704,6351.098676773079,72,9027.406494140625,-0.000819703102806435
2021-01-13 00:00:00-05:00,15517.569939445504,8764.565995048531,53,6753.003944396974,0.009042801428764458
2021-01-14 00:00:00-05:00,15415.415787529,8764.565995048531,53,6650.84979248047,-0.006583128177616859
2021-01-15 00:00:00-05:00,15316.12605242158,5786.242248100289,77,9529.88380432129,-0.006440937855710982
2021-01-19 00:00:00-05:00,15360.98095674897,7645.922179893501,62,7715.058776855469,0.0029286063704274667
2021-01-20 00:00:00-05:00,15606.254893974312,10850.832378105171,37,4755.422515869141,0.015967335544256223
2021-01-21 00:00:00-05:00,15773.580795539863,12842.379898323066,22,2931.200897216797,0.010721720406486224
2021-01-22 00:00:00-05:00,15820.696365608223,12842.379898323066,22,2978.3164672851562,0.002986992660644505
2021-01-25 00:00:00-05:00,15896.89488668061,14088.259770103461,13,1808.6351165771484,0.004816382244591466
2021-01-26 00:00:00-05:00,15894.79268242646,14222.479816215522,12,1672.3128662109375,-0.0001322399291896481
2021-01-27 00:00:00-05:00,15881.943622367866,14222.479816215522,12,1659.4638061523438,-0.000808381733270358
2021-01-28 00:00:00-05:00,15813.548714530953,8874.118721855171,52,6939.429992675781,-0.004306457034678468
2021-01-29 00:00:00-05:00,15544.50332784272,4497.220948692329,86,11047.28237915039,-0.017013599638201926
